Bee Number,Wing Length (in pixels),Abdmen length (in pixels)),Body length (in pixels)),Could you see pollen baskets?,Could you see the stinger ?,What did the wings look like?,Notes about be (e.g. was the head missing?)
059,828,733,1268,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
059,732,797,1283,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,The head was not missing. 
059,801,636,1292,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
059,741,623,1218,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
059,776,655,1245,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
060,580,909,1147,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,The wings look cut short and the bee seems to be missing a lot of legs.
060,596,533,1222,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,N/A
060,592,671,1387,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NO
060,558,648,1315,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,the largest bee out of all three
060,700,575,1262,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
061,785,648,956,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
061,826,462,1201,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Middle body partially missing
061,765,597,1206,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
061,795,798,1644,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,"most part intact, broken antenna "
061,11,9,6,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No abnormalities 
062,707,946,1197,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,The smallest bee that I had.
062,725,589,1219,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing notable on this bee.
062,717,669,1075,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
062,892,891,1482,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
062,722,698,1212,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
063,905,599,1150,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,4 legs
063,758,549,1183,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,One wing was cut in half
063,646,495,1043,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,Bee number 063 was noted to be the smallest bee out of the three observed. It was also the only one with deformed wings and without a stinger visible. The deformed wings looked as though it was torn and tattered in places near the end of the wings.
063,665,518,1087,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
063,729,596,1145,Could not tell (back legs missing),"No, I did NOT see the stinger",Deformed wings,"Broken wings, curled up and hard to tell about if and what limbs are missing"
064,781,631,1124,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
064,3039,2309,4365,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,It didn't have any legs.
064,1085,637,1161,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,"No, head was attached"
064,829,782,1360,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The tongue was sticking out.
064,764,633,1287,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,N/A
065,944,536,1294,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,one leg was unattached
065,883,463,1070,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
065,886,411,1105,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Stinger length = 65.115 
065,877,691,1149,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed wings,Tongue is visible
065,841,480,1080,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
066,736,744,1332,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,
066,849,592,1476,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
066,792,537,973,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Appeared to be missing some legs. 
066,816,485,1264,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
067,870,624,1076,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,"The bee had no back legs, and it looks like there were pieces that fell off of it."
067,816,510,1123,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,Bee had all parts.
067,772,538,928,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,NA
067,862,558,1185,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
067,805,834,1110,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,
68,804,744,1276,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"the wings looked damaged, parts chipped off, possibly due to freezing"
68,781,540,1328,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,not many legs visible
68,655,749,1395,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,"Something behind its back legs that looked like pollen baskets, but were black, I'm assuming this is because they're dead."
68,770,655,1331,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed wings,none
68,719,684,1141,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,
069,824,805,1379,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
069,775,567,1125,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,
069,800,763,1265,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
069,869,608,1193,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
069,767,979,1613,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No notes just missing stinger
070,753,454,1147,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,leg was sticking out
070,809,454,1475,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
070,774,506,1536,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
070,740,530,1168,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Regular bee
070,806,511,1153,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,no
071,804,522,1320,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"Nothing seemed to be missing. However, I couldn’t locate the pollen basket for any of the three bees."
071,768,589,1168,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,The head seemed deformed or more so like a hornets head as there seemed to be pinchers or something of the sort on it. 
071,670,528,1452,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Curled up position and tongue was sticking out.
071,783,386,1098,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,head missing
071,765,494,1326,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no
072,774,562,1267,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,Looked fine
072,767,462,1209,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
072,762,568,1287,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,
073,860,432,979,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"abdomen was slightly angled, stinger very visible"
074,934,552,1107,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Bee #74 abdomen is partially split from its body and wings seems to be healthy.
075,1109,440,1012,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Body was really, badly curved, as well were the legs and the abdomen was hunched."
076,796,813,1310,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,This bee was really big
076,-,-,-,"Yes, I saw pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,"this one also had its antenas still, its wings were upright"
077,845,506,1161,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,None
079,821,427,988,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Looks normal, but didn't have a visible pollen basket or stinger."
080,826,693,1072,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,it is a normal bee but without a pollen basket
082,836,509,1054,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,full connected bee
083,733,543,1092,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,
084,795,448,1110,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,"Wing torn, body split in half"
085,826,496,1013,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,
086,806,520,1105,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,"all of the parts were together, long "
087,918,537,1243,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,grey colored
088,611,542,1128,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee was curled up and it was difficult to measure entire length
089,992,528,1725,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,looked normal
090,834,508,1808,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
091,780,569,1290,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,it was upside down in the picture
092,818,589,1255,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,it was the biggest bee to measure
093,967,536,1503,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The bee was bisected, detached antenna and legs"
094,744,702,1186,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"intact stretched out body, pollen on leg"
095,753,541,1056,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Had a very long tongue sticking out 
096,768,545,1235,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No notes
097,806,676,1025,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"back legs fully extended, tongue visible"
098,822,582,1201,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,Pollen basket is on the bee and wings don't seem to have any breakage so I am assuming it has healthy wings.
099,1113,701,1238,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Body a bit curved, thorax and abdomen were separated"
100,831,536,954,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,This bee was very intact
101,642,506,1237,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,None
103,633,628,1154,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Looked normal, but did not have a visible pollen basket or stinger."
104,848,615,966,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,it has stinger but no pollen basket
105,888,510,1249,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,looked normal
106,819,522,1063,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,full connected bee
107,741,464,1017,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
108,804,364,1053,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Were no yellow bands
109,874,358,866,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed wings,
110,810,456,1041,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,long wings
111,1165,549,1283,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,folded
112,838,523,1617,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Was a very healthy looking bee
114,795,1169,1304,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Very Long Tongue 
115,803,449,1152,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,one of the back legs was missing
116,1023,746,1090,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"this bee was curled up, and had its (i believe) tongue out. it also had its stinger out!"
117,807,666,1473,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"bisected, curled up"
118,805,629,1588,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,intact body
119,721,447,990,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,Normal but couldn’t tell if a leg was missing
120,709,451,1080,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,"No notes, bee was just very dark"
121,854,424,1005,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"legs tucked in with wings extended, tongue slightly visible"
122,809,601,1121,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,This bee seems the healthiest out of the two other bees. One of the wings is clearly spread out and visible so there doesn't seem to be any breakage.
123,1057,895,1076,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Thorax and abdomen were separated too
124,748,404,932,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,This bee was intact but had scrunched legs
125,684,621,1149,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,Body was very curved
127,666,430,1177,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Body was broken into parts. No visible pollen basket or stinger.
128,856,400,968,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,the abdomen of this bee is smaller than the two before
129,833,526,1210,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,looks normal
130,837,536,1070,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,full connected bee
131,730,475,1209,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
132,782,409,1134,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Stinger was removed/back end of bee destroyed
133,773,458,1067,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
134,765,491,1083,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,shorter wings
135,824,437,993,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,broken between thorax and abdomen 
136,768,430,1254,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,This bee was the most deformed one out off all 3
138,725,422,1465,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Extremely curved abdomen 
139,891,469,1445,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,it had honey on its mouth
140,836,661,1188,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,this bee was the only one with a pollen basket
141,863,763,1625,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"bisected, curled up"
142,563,567,1166,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"unfurled wings, scrunched body "
143,876,495,1240,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
144,798,379,1419,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed Wings,"The legs looked defored, and smaller."
144,832,324,967,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"bee looked normal, but legs looked a bit long"
144,840,871,1112,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,long/thick legs
144,813,512,1149,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,nothing
145,939,645,1238,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,None
145,832,547,635,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee was complete with all its features fully intact
145,836,544,1398,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No
146,1015,1058,1617,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,Couldn't really tell how many legs it had
146,959,625,1234,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
146,819,721,1330,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
147,934,978,1269,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
147,775,672,1430,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
147,820,1004,1650,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The stinger was missing or it was just difficult to find.
148,774,599,975,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
148,797,754,250,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee 148 didn't have any missing limbs and was perfectly intact. Although it did not have a visible pollen basket.
149,836,329,1067,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Bee was fully in tact, likely died of natural causes as stinger is not out"
149,870,645,1185,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"Not severed, and three legs were visible"
149,836,823,1080,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,missing 2 legs
150,753,714,1111,Could not tell (back legs missing),"No, I did NOT see the stinger",Deformed Wings,No Additional Notes
150,765,557,1148,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
150,686,618,1158,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,None
151,786,695,1746,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,2 legs and no Stinger
151,770,540,1047,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,very long legs
151,769,578,1204,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,complete body
152,1502,986,1736,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Looks normal 
152,750,632,1295,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Other than the stinger being missing, there was nothing else that was missing "
152,832,593,1036,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
153,667,496,1025,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"Well preserved bee, almost looks alive."
153,760,734,1383,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
153,643,466,1078,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing noteworthy.
154,728,599,1004,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed Wings,no head was missing
154,1091,954,490,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No
154,713,765,1145,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
155,541,433,801,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,head was missing
155,545,550,1217,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,No
155,504,1509,1509,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,headless and one dismembered leg
156,830,480,925,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Antenna missing
156,832,1555,1845,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,n/a
156,764,498,964,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed Wings,legs curled up
157,804,594,941,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,legs looked like they were chopped in half
157,735,506,1650,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Wings were big. 
157,793,887,1054,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,"No head, no legs"
158,810,570,1065,"Yes, I saw pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,Legs were shriveled up and made it difficult to tell how many legs there were.
158,802,574,1066,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,No legs
158,840,559,1277,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,"broken up in 3 pieces (head, thorax, abdomen)"
158,777,691,1148,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
160,579,657,not possible,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,head missing
160,656,616,1116,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"head was not missing, bee had super small thorax "
160,588,721,1341,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No it was intact I believe 
161,716,567,1127,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Yes, the body and the head were separated."
161,808,1048,1048,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"the bee was dead, head and legs were missing. the bee was in two pieces as well."
161,701,559,1099,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"My bee was split in half. Only three legs were visible, but only one leg was still attached to the bee. Antennas are missing. "
162,804,1009,1009,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head was severed off from the body 
162,798,617,1391,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee was broken into two pieces. 
162,782,783,1457,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,yes
163,797,376,1280,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head severed/detached from body
163,774,969,1280,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,head was detached from the body
163,804,738,1032,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,head seperate
164,775,550,1317,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,"It had a brutal death, it was in pieces."
164,785,547,1358,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no head
165,864,560,1004,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,No
165,827,886,1714,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,No
165,799,771,1341,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
166,730,725,1408,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,leg was missing
166,771,1107,1238,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,one leg is broken
166,736,889,1333,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,1 leg was detached
167,685,628,1315,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,head was missing
167,2762,2328,5090,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,Head missing/not visible
167,737,582,Not possible,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"cut in half, head missing"
168,798,553,1236,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Everything seemed normal with this bee.
168,868,333,1063,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,the tail seemed to be separated from the abdomen but it could be due to the fact that the bees were frozen so handling them could have been hard to keep them intact
168,1273,662,1061,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,head separated from body
169,898,1001,2029,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
169,830,585,572,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,"The bee had no missing features, had a large abdomen and a full pollen basket."
169,848,708,1166,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Deformed wings,No
170,1000,792,1492,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,I believe one its leg was taped separately on the image
170,969,552,1158,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
170,834,711,1202,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Deformed wings,one leg and pollen basket detached
171,935,881,1160,"Yes, I did see pollen baskets","Yes, I saw the stinger",Normal wings,
171,792,658,1277,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
172,714,595,1080,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
172,839,588,671,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"This bee was missing it stinger, yet all of its other body parts were intact. "
173,773,369,1125,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee was visibly very frozen still
173,753,610,1179,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"Had legs broken off, and the bee seemed to be covered in a white powdery substance"
173,780,772,1072,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,"missing legs, no stinger"
174,832,978,1363,"Yes, I did see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,The bee  is in a very crouches position so it is difficult to see.
174,944,592,1183,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
174,986,705,1160,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Leg detatched
175,803,727,1781,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,Stinger missing and 3 legs were visible
175,847,440,1085,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,small abdomen
175,882,484,1237,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,missing leg
176,651,1325,1843,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,the head looks shrunk 
176,536,632,1355,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Deformed wings,This one was more curled up which dictated the overall length value of the bee itself. So estimated number that I found was inconsistent due to the lack of data I needed for the bee to be very accurate in that state.
176,544,719,1181,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Deformed wings,bee was frosty
177,793,637,1614,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Yellow abdomen
177,760,940,1600,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,n/a
177,768,517,1138,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing noteworthy
178,824,521,1185,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,no head was missing
178,1246,793,532,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
178,700,635,1327,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
179,816,538,1285,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
179,682,548,1254,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no
179,748,1071,1528,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,"wing was retracted, could not tell clearly if wing was deformed"
180,790,600,1190,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,Legs covering stinger
180,849,1130,1303,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,n/a
180,796,545,1609,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"fuzzy, looks cold"
181,788,725,956,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,None
181,812,562,1501,"Yes, I did see pollen baskets","Yes, I saw the stinger",Normal wings,The wings were also very big. 
181,817,587,1220,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Normal
182,781,640,1251,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The wings looks in good health/condition.
182,860,583,1189,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,"Has legs, has head"
182,810,669,1357,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
183,817,564,1198,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
184,712,752,1218,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,complete body
184,831,503,1137,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,nothing abnormal looking about this bee
184,1089,852,1184,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,Head was intact
185,713,566,1371,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Looks fine.
185,716,1079,1379,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"N/A, looked normal"
185,726,562,1132,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Looked like a perfect and healthy bee. The antennas were still attached.  
186,863,989,1353,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
186,778,559,991,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
186,732,924,1277,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,no
